model_type,preproc_type,tuning_type,metric,estimator,n_folds,best_fold,mean,min,max,sd,range,model_cat,preproc_cat,metric_cat,metric_cat_short,model_pre_label,model_pre_order,model_pre_cat,model_pre_cat_rev
xgboost,nocounty,bayes_tune,accuracy,binary,5,1,0.8300598994874742,0.8287342523510012,0.831508256763519,0.0012939348345437276,0.00277400441251785,XGBoost,No county,Accuracy,Accu.,"XGBoost, No county",2,"XGBoost, No county","XGBoost, No county"
xgboost,noucr,bayes_tune,accuracy,binary,5,1,0.8291064570270689,0.8284175026817251,0.8302652172524302,7.513463227059614e-4,0.0018477145707050946,XGBoost,No contributing causes,Accuracy,Accu.,"XGBoost, No contributing causes",3,"XGBoost, No contributing causes","XGBoost, No contributing causes"
xgboost,naive,bayes_tune,accuracy,binary,5,1,0.8294072357492821,0.8277733562954662,0.8309705822854891,0.0012980922873167733,0.0031972259900229227,XGBoost,All covariates,Accuracy,Accu.,"XGBoost, All covariates",4,"XGBoost, All covariates","XGBoost, All covariates"
lightgbm,nocountynoucr,bayes_tune,accuracy,binary,5,1,0.8281737761580737,0.8269375630504856,0.8293069855094066,9.315220982830119e-4,0.002369422458921022,LightGBM,"No county, no contributing cause",Accuracy,Accu.,"LightGBM, No county, no contributing cause",5,"LightGBM, No county, no contributing cause","LightGBM, No county, no contributing cause"
lightgbm,nocounty,bayes_tune,accuracy,binary,5,1,0.8282834407168626,0.8273128714821489,0.8293682058707664,9.155728376367324e-4,0.0020553343886174913,LightGBM,No county,Accuracy,Accu.,"LightGBM, No county",6,"LightGBM, No county","LightGBM, No county"
lightgbm,noucr,bayes_tune,accuracy,binary,5,1,0.8270813896344079,0.8260485345669712,0.8282342983081886,9.989241545579671e-4,0.0021857637412173725,LightGBM,No contributing causes,Accuracy,Accu.,"LightGBM, No contributing causes",7,"LightGBM, No contributing causes","LightGBM, No contributing causes"
lightgbm,naive,bayes_tune,accuracy,binary,5,1,0.8271282366556536,0.8263759312839541,0.8282130042694548,7.794409726629163e-4,0.0018370729855006207,LightGBM,All covariates,Accuracy,Accu.,"LightGBM, All covariates",8,"LightGBM, All covariates","LightGBM, All covariates"
random_forest,nocountynoucr,bayes_tune,accuracy,binary,5,1,0.8288642369071229,0.8277014887234456,0.829860630516487,8.3217439499908e-4,0.0021591417930413304,Random Forest,"No county, no contributing cause",Accuracy,Accu.,"Random Forest, No county, no contributing cause",9,"Random Forest, No county, no contributing cause","Random Forest, No county, no contributing cause"
random_forest,nocounty,bayes_tune,accuracy,binary,5,1,0.8296313564832631,0.8290669725918375,0.830257231987905,5.241674330322447e-4,0.001190259396067539,Random Forest,No county,Accuracy,Accu.,"Random Forest, No county",10,"Random Forest, No county","Random Forest, No county"
random_forest,noucr,bayes_tune,accuracy,binary,5,2,0.8292533865135578,0.8285772083973265,0.8301503096960001,6.945752288553972e-4,0.001573101298673607,Random Forest,No contributing causes,Accuracy,Accu.,"Random Forest, No contributing causes",11,"Random Forest, No contributing causes","Random Forest, No contributing causes"
