fips,reporting_ratio,reporting_ratio_lower,reporting_ratio_upper,color
55021,1.5894736842105264,1.0315789473684212,2.3789473684210525,#F46D43
55023,1.8181818181818181,1.1818181818181819,3.272727272727273,#D73027
55025,0.8821879382889201,0.8499298737727911,0.9326788218793829,#66BD63
55027,1.620253164556962,1.1518987341772151,2.147679324894515,#F46D43
55029,0.9090909090909091,0.6363636363636364,1.5227272727272727,#66BD63
55031,1.0481927710843373,0.7349397590361446,1.4698795180722892,#FDAE61
55033,1.2564102564102564,0.7692307692307693,1.9743589743589745,#F46D43
55035,0.9723926380368099,0.9233128834355828,1.0429447852760736,#66BD63
55037,1,0.5714285714285714,2.142857142857143,#FDAE61
55039,1.251063829787234,1.0936170212765957,1.4638297872340424,#F46D43
55041,1.1538461538461537,0.6923076923076923,1.8461538461538463,#FDAE61
55043,0.9903846153846154,0.6442307692307693,1.5576923076923077,#66BD63
55045,1.441860465116279,1,1.9767441860465116,#F46D43
55047,1.3125,0.9375,1.84375,#F46D43
55049,1.9583333333333333,1.3333333333333333,2.625,#D73027
55051,0.8,0.36,1.44,#66BD63
55053,1.4558823529411764,1.1911764705882353,1.7794117647058822,#F46D43
55055,1.9811320754716981,1.4811320754716981,2.5943396226415096,#D73027
55057,2.3684210526315788,1.4736842105263157,3.526315789473684,#D73027
55059,1.607920792079208,1.491089108910891,1.7445544554455445,#F46D43
55061,1.303030303030303,0.9090909090909091,1.878787878787879,#F46D43
55063,1.0347003154574133,0.9747634069400631,1.1261829652996846,#FDAE61
55065,1.4285714285714286,0.9285714285714286,2.2142857142857144,#F46D43
55067,1.1111111111111112,0.7037037037037037,1.5555555555555556,#FDAE61
55069,0.8690476190476191,0.38095238095238093,1.7142857142857142,#66BD63
55071,1.0396825396825398,0.8174603174603174,1.380952380952381,#FDAE61
55073,1.6072874493927125,1.4878542510121457,1.728744939271255,#F46D43
55075,1.139240506329114,0.6835443037974683,1.8987341772151898,#FDAE61
55077,1.4761904761904763,0.8095238095238095,2.4285714285714284,#F46D43
55078,Inf,Inf,Inf,#A50026
55079,1.8577055637616937,1.7538158542589857,1.9729197439684885,#D73027
55081,1.2280701754385965,0.8596491228070176,1.736842105263158,#FDAE61
55083,1.2666666666666666,0.6,2.8,#F46D43
55085,2.340909090909091,1.9621212121212122,2.742424242424242,#D73027
55087,1.0138067061143985,0.9132149901380671,1.1617357001972386,#FDAE61
55089,1.2820512820512822,1.054945054945055,1.63003663003663,#F46D43
55091,1,0.5714285714285714,2,#FDAE61
55093,1.3421052631578947,0.8947368421052632,1.868421052631579,#F46D43
55095,1.3736263736263736,1.032967032967033,1.7912087912087913,#F46D43
55097,1.3421052631578947,1.1140350877192982,1.6842105263157894,#F46D43
55099,2.0714285714285716,1.4285714285714286,3,#D73027
55101,2.0044444444444443,1.748888888888889,2.2844444444444445,#D73027
55103,1.6857142857142857,1.1428571428571428,2.5714285714285716,#F46D43
55105,1.2060810810810811,1.0405405405405406,1.4358108108108107,#FDAE61
55107,0.9259259259259259,0.5925925925925926,1.2962962962962963,#66BD63
55109,1.1008403361344539,0.8487394957983193,1.5126050420168067,#FDAE61
55111,1.64,1.26,2.08,#F46D43
55113,1.8108108108108107,1.1891891891891893,2.4864864864864864,#D73027
55115,1.7976190476190477,1.3571428571428572,2.392857142857143,#D73027
55117,1.2555555555555555,1.0592592592592593,1.488888888888889,#F46D43
55119,1.46875,1.078125,1.921875,#F46D43
55121,1.075,0.8,1.5,#FDAE61
55123,1.1568627450980393,0.9673202614379085,1.4052287581699345,#FDAE61
55125,1.7857142857142858,0.8928571428571429,3.1785714285714284,#D73027
55127,1.1266666666666667,0.7666666666666667,1.6266666666666667,#FDAE61
55129,1.1666666666666667,0.7777777777777778,2.111111111111111,#FDAE61
55131,1.6614583333333333,1.21875,2.2239583333333335,#F46D43
55133,0.9342672413793104,0.8685344827586207,1.0700431034482758,#66BD63
55135,1.7697841726618706,1.2589928057553956,2.41726618705036,#D73027
55137,1,0.8532110091743119,1.2110091743119267,#FDAE61
55139,1.037037037037037,0.9259259259259259,1.1851851851851851,#FDAE61
55141,0.9325513196480938,0.8973607038123167,0.9941348973607038,#66BD63
56001,0.9454545454545454,0.8727272727272727,1.0909090909090908,#66BD63
56003,0.4878048780487805,0.3170731707317073,0.7804878048780488,#006837
56005,1.1217391304347826,0.8956521739130435,1.391304347826087,#FDAE61
56007,1.36,1.16,1.64,#F46D43
56009,1.2647058823529411,1.0294117647058822,1.6470588235294117,#F46D43
56011,0.8181818181818182,0.5454545454545454,1.5454545454545454,#66BD63
56013,1.3085106382978724,1.0212765957446808,1.7553191489361701,#F46D43
56015,1.1578947368421053,0.9736842105263158,1.4473684210526316,#FDAE61
56017,1.5833333333333333,1.1666666666666667,2.1666666666666665,#F46D43
56019,1.09375,1,1.34375,#FDAE61
56021,1.244,1.076,1.508,#FDAE61
56023,1.2,0.7333333333333333,2.3333333333333335,#FDAE61
56025,0.9615384615384616,0.893491124260355,1.0739644970414202,#66BD63
56027,0.8571428571428571,0.8571428571428571,1.1428571428571428,#66BD63
56029,1.1237113402061856,0.8762886597938144,1.6288659793814433,#FDAE61
56031,1,0.8181818181818182,1.393939393939394,#FDAE61
56033,1.078125,0.953125,1.3125,#FDAE61
56035,1,0.9054054054054054,1.1756756756756757,#FDAE61
56037,1.3068181818181819,1.0113636363636365,1.6931818181818181,#F46D43
56039,0.6666666666666666,0.6,0.8666666666666667,#006837
56041,2.1333333333333333,1.4666666666666666,2.8666666666666667,#D73027
56043,0.72,0.52,1.16,#006837
56045,1.4285714285714286,1,2.4285714285714284,#F46D43
02066,NA,NA,NA,grey
02158,NA,NA,NA,grey
09110,NA,NA,NA,grey
09120,NA,NA,NA,grey
09130,NA,NA,NA,grey
09140,NA,NA,NA,grey
09150,NA,NA,NA,grey
09160,NA,NA,NA,grey
09170,NA,NA,NA,grey
09180,NA,NA,NA,grey
09190,NA,NA,NA,grey
72001,NA,NA,NA,grey
72003,NA,NA,NA,grey
72005,NA,NA,NA,grey
72007,NA,NA,NA,grey
72009,NA,NA,NA,grey
72013,NA,NA,NA,grey
72015,NA,NA,NA,grey
72011,NA,NA,NA,grey
72017,NA,NA,NA,grey
72019,NA,NA,NA,grey
72021,NA,NA,NA,grey
72023,NA,NA,NA,grey
72025,NA,NA,NA,grey
72027,NA,NA,NA,grey
